mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,0.5,0,159,92,-146791.40597666515,-39171.79396656991,-117774.77691755086,-24983.376894969213,True,True
permutation_mix,0.5,1,159,92,-139053.77336917762,-31434.161359082384,-112985.04756697976,-19992.191358258566,True,True
permutation_mix,0.5,2,159,92,-139042.10600599658,-31422.493995901343,-111010.45243117888,-21684.055095265998,True,True
permutation_mix,0.5,3,159,92,-145251.7444441857,-37632.132434090454,-117177.50002273514,-24909.19189676009,True,True
permutation_mix,0.5,4,159,92,-147987.74786801529,-40368.135857920046,-117751.31306239833,-27129.138059333916,True,True
permutation_mix,0.5,5,159,92,-151890.78726362492,-44271.175253529684,-122603.54589569215,-32015.072462524437,True,True
permutation_mix,0.5,6,159,92,-154912.01883061606,-47292.40682052082,-128924.02704722129,-37457.85885997949,True,True
permutation_mix,0.5,7,159,92,-150117.13583689032,-42497.52382679508,-124802.74550819847,-30132.72063130287,True,True
permutation_mix,0.5,8,159,92,-135329.562464199,-27709.95045410376,-108875.43332236796,-17285.96185693335,True,True
permutation_mix,0.5,9,159,92,-156764.81167017072,-49145.19966007548,-129993.31992000584,-37558.51962883489,True,True
permutation_mix,0.5,10,159,92,-130309.74286703963,-22690.130856944394,-103581.9571514255,-14574.218260566133,True,True
permutation_mix,0.5,11,159,92,-143756.57729918874,-36136.965289093496,-118895.29297185541,-25899.5237436627,True,True
permutation_mix,0.5,12,159,92,-150746.95821070412,-43127.34620060888,-121887.5719228887,-28585.797956854705,True,True
permutation_mix,0.5,13,159,92,-143122.95750803166,-35503.34549793642,-116284.33089886744,-24328.156951922898,True,True
permutation_mix,0.5,14,159,92,-161709.9612074722,-54090.349197376956,-131333.93450964984,-39764.284128509586,True,True
permutation_mix,0.5,15,159,92,-149303.9544507804,-41684.34244068517,-121567.11279135346,-28479.728091281755,True,True
permutation_mix,0.5,16,159,92,-136338.56759640932,-28718.955586314085,-112244.20899318902,-19896.31249282649,True,True
permutation_mix,0.5,17,159,92,-141244.1378809298,-33624.525870834565,-114064.6886052561,-22164.90955700167,True,True
permutation_mix,0.5,18,159,92,-125054.1611799334,-17434.549169838167,-99242.45166290138,-6474.4558615034675,True,True
permutation_mix,0.5,19,159,92,-153990.64899643685,-46371.03698634161,-126530.80774866138,-34256.273163683516,True,True
permutation_mix,0.5,20,159,92,-142584.12913464708,-34964.51712455184,-115746.47326655732,-25483.417872493836,True,True
permutation_mix,0.5,21,159,92,-153164.51694862204,-45544.9049385268,-123672.33744402663,-32391.53998497772,True,True
permutation_mix,0.5,22,159,92,-133907.28623863467,-26287.67422853943,-111363.82874639322,-17026.56176243685,True,True
permutation_mix,0.5,23,159,92,-136101.67519152747,-28482.063181432226,-110930.21546499027,-19405.8661316383,True,True
permutation_mix,0.5,24,159,92,-137960.39283581908,-30340.780825723836,-109270.82145622873,-18749.0959330933,True,True
permutation_mix,0.5,25,159,92,-156017.48913104087,-48397.87712094563,-124343.90037803478,-36399.5871486081,True,True
permutation_mix,0.5,26,159,92,-135917.51787634243,-28297.905866247194,-109145.25909790567,-15984.414880565071,True,True
permutation_mix,0.5,27,159,92,-145534.84382655122,-37915.231816455984,-119797.99930750916,-26407.380555700376,True,True
permutation_mix,0.5,28,159,92,-145076.69438737104,-37457.0823772758,-117925.68994059638,-25813.105164199293,True,True
permutation_mix,0.5,29,159,92,-152190.62996098978,-44571.017950894544,-121620.25051381749,-31434.698796639987,True,True
permutation_mix,0.75,0,159,92,-121184.96999670906,-13565.357986613817,-96849.23013038449,-6272.976948822299,True,True
permutation_mix,0.75,1,159,92,-114055.41881012692,-6435.806800031685,-92104.99679580414,-1832.5512108013465,True,True
permutation_mix,0.75,2,159,92,-113876.9671996347,-6257.355189539463,-88366.3213404389,-1978.4758061668688,True,True
permutation_mix,0.75,3,159,92,-116072.67167645364,-8453.0596663584,-92920.43967394215,-3159.522160890276,True,True
permutation_mix,0.75,4,159,92,-115777.95742449572,-8158.345414400479,-91185.83091508802,-1466.334471137887,True,True
permutation_mix,0.75,5,159,92,-124205.9590689785,-16586.347058883257,-99339.1526642618,-8401.480057522847,True,True
permutation_mix,0.75,6,159,92,-118048.57274131154,-10428.960731216299,-96233.16885845001,-6826.682595597953,True,True
