mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
noise,0.25,5,159,92,-234575.56052452064,-126955.9485144254,-204260.12083162117,-100947.83607356332,True,True
noise,0.25,6,159,92,-196243.64521768072,-88624.03320758548,-162696.6669562664,-59853.51122010031,True,True
noise,0.25,7,159,92,-225921.5288264483,-118301.91681635307,-194413.8687089473,-90828.81124959319,True,True
noise,0.25,8,159,92,-200859.02975360255,-93239.4177435073,-172886.68227710732,-69256.99228097565,True,True
noise,0.25,9,159,92,-217506.64257345174,-109887.03056335649,-184343.39831254256,-82226.58849443479,True,True
noise,0.25,10,159,92,-231871.11866641464,-124251.50665631938,-204262.02388331338,-101739.5474601001,True,True
noise,0.25,11,159,92,-214629.63419618632,-107010.0221860911,-182997.84418948737,-78287.74766613371,True,True
noise,0.25,12,159,92,-234169.97510293554,-126550.3630928403,-202058.53454098676,-102628.81059409738,True,True
noise,0.25,13,159,92,-223664.51546508135,-116044.90345498611,-194557.6911346794,-91925.48323742457,True,True
noise,0.25,14,159,92,-228171.30641060625,-120551.69440051101,-201827.8940450781,-100635.83731447408,True,True
noise,0.25,15,159,92,-218806.6847950206,-111187.07278492536,-190214.89072491188,-86968.6015284006,True,True
noise,0.25,16,159,92,-217846.22975775722,-110226.61774766196,-181042.63466072324,-80341.56193670182,True,True
noise,0.25,17,159,92,-237426.83176632025,-129807.21975622501,-208396.11112401073,-108319.54816739578,True,True
noise,0.25,18,159,92,-229926.5771382416,-122306.96512814637,-204405.05448581406,-102195.433104283,True,True
noise,0.25,19,159,92,-226637.30819151746,-119017.69618142222,-193909.5869344426,-90664.66663772835,True,True
noise,0.25,20,159,92,-222845.451700091,-115225.83968999579,-194068.25661119967,-91711.1057985394,True,True
noise,0.25,21,159,92,-231126.59825217078,-123506.98624207554,-202683.9608162421,-101836.47583758821,True,True
noise,0.25,22,159,92,-214882.0928911892,-107262.48088109396,-185663.335501015,-83843.54684273503,True,True
noise,0.25,23,159,92,-219512.95608384296,-111893.34407374772,-190845.57443525587,-88776.69855399463,True,True
noise,0.25,24,159,92,-232838.4647558166,-125218.85274572135,-202802.39030154824,-102207.79697719094,True,True
noise,0.25,25,159,92,-216302.95832267677,-108683.34631258155,-187220.5189050566,-85690.42593356459,True,True
noise,0.25,26,159,92,-220291.17876878436,-112671.56675868912,-183946.76705487375,-83581.56117207569,True,True
noise,0.25,27,159,92,-229460.47496869386,-121840.8629585986,-194965.0473466223,-91791.6051729442,True,True
noise,0.25,28,159,92,-218202.1372740636,-110582.52526396836,-193891.00956304956,-90121.3390339153,True,True
