arm_id,model_id,feature_family,outer_fold,config_id,mean_inner_rmse,worst_inner_rmse,complexity_rank
C001,linear_shrinkage,metadata_only,O4,LIN_E01,0.4407040003028908,0.4930094882905326,1.0
C001,linear_shrinkage,metadata_only,O5,LIN_E01,0.4331925906580388,0.4930094882905326,1.0
C001,linear_shrinkage,metadata_only,O6,LIN_E01,0.5269701597008454,0.6650414138863812,1.0
C001,linear_shrinkage,weather_only,O1,LIN_E01,0.444107562697483,0.48885721761866263,1.0
C001,linear_shrinkage,weather_only,O2,LIN_E12,0.4473914037349634,0.5053329226413911,12.0
C001,linear_shrinkage,weather_only,O3,LIN_E11,0.4057267831436331,0.4428887789945391,11.0
C001,linear_shrinkage,weather_only,O4,LIN_E11,0.4385187201561265,0.48837050605083143,11.0
C001,linear_shrinkage,weather_only,O5,LIN_E12,0.4331925906580398,0.49300948829053304,12.0
C001,linear_shrinkage,weather_only,O6,LIN_E05,0.5226114125157119,0.6566053047611403,5.0
C010,catboost,full,O1,CAT_C04,0.4291951608361351,0.4621314142483054,4.0
C010,catboost,full,O2,CAT_C03,0.428899562978912,0.4859674102549997,3.0
C010,catboost,full,O3,CAT_C03,0.3886111905277912,0.4128906713389253,3.0
C010,catboost,full,O4,CAT_C03,0.4177391163519208,0.4752243848151998,3.0
C010,catboost,full,O5,CAT_C02,0.41955183357959247,0.46372703670985926,2.0
C010,catboost,full,O6,CAT_C02,0.501588265310324,0.6118298401976783,2.0
C010,catboost,metadata_only,O1,CAT_C04,0.4493250099438882,0.5092128532422817,4.0
C010,catboost,metadata_only,O2,CAT_C04,0.44729817643549646,0.5050532407239452,4.0
C010,catboost,metadata_only,O3,CAT_C01,0.4068499984791809,0.4453938061523987,1.0
C010,catboost,metadata_only,O4,CAT_C01,0.4407040003883873,0.49300948815242623,1.0
C010,catboost,metadata_only,O5,CAT_C01,0.4331925906202813,0.49300948815242623,1.0
C010,catboost,metadata_only,O6,CAT_C03,0.5269701597847365,0.665041414362245,3.0
C010,catboost,weather_only,O1,CAT_C02,0.4288167138828778,0.4768300360116746,2.0
C010,catboost,weather_only,O2,CAT_C03,0.4327504829078673,0.48963769382531097,3.0
C010,catboost,weather_only,O3,CAT_C03,0.3896235286886652,0.41628908361466876,3.0
C010,catboost,weather_only,O4,CAT_C03,0.41732093641034274,0.47541689444865476,3.0
C010,catboost,weather_only,O5,CAT_C02,0.4209042606434577,0.4705561401602297,2.0
C010,catboost,weather_only,O6,CAT_C04,0.5071202448796492,0.6147041171246249,4.0
C010,extra_trees,full,O1,ET_C01,0.42902841510023887,0.4579745551212098,1.0
C010,extra_trees,full,O2,ET_C01,0.43118342587254244,0.4888464656592223,1.0
C010,extra_trees,full,O3,ET_C03,0.39162356147091965,0.42142519822848096,3.0
C010,extra_trees,full,O4,ET_C02,0.4207942392389914,0.47352397919438927,2.0
C010,extra_trees,full,O5,ET_C03,0.42264209163061756,0.4734716200501723,3.0
C010,extra_trees,full,O6,ET_C02,0.49941343239503505,0.5978896115820778,2.0
C010,extra_trees,metadata_only,O1,ET_C01,0.4493250100495369,0.5092128533759248,1.0
C010,extra_trees,metadata_only,O2,ET_C01,0.4472981765082542,0.5050532409612783,1.0
C010,extra_trees,metadata_only,O3,ET_C01,0.4068499984404818,0.44539380586017413,1.0
C010,extra_trees,metadata_only,O4,ET_C01,0.44070400030288925,0.4930094882905325,1.0
C010,extra_trees,metadata_only,O5,ET_C01,0.4331925906580381,0.4930094882905325,1.0
C010,extra_trees,metadata_only,O6,ET_C01,0.5269701597008457,0.6650414138863838,1.0
C010,extra_trees,weather_only,O1,ET_C01,0.42444894874276723,0.4565198925087449,1.0
C010,extra_trees,weather_only,O2,ET_C01,0.42963764860916026,0.47568308222489686,1.0
C010,extra_trees,weather_only,O3,ET_C04,0.3917483108970257,0.4218184450322382,4.0
C010,extra_trees,weather_only,O4,ET_C02,0.42111866008128757,0.47791834578254294,2.0
C010,extra_trees,weather_only,O5,ET_C02,0.42427759838540907,0.47791834578254294,2.0
C010,extra_trees,weather_only,O6,ET_C01,0.5020079301954076,0.5999632033422565,1.0
C010,hist_gradient_boosting,full,O1,HGB_C03,0.4426863232522702,0.4850002881629715,3.0
C010,hist_gradient_boosting,full,O2,HGB_C03,0.4592848756259175,0.5127991411623793,3.0
C010,hist_gradient_boosting,full,O3,HGB_C03,0.41227522516724696,0.43855906972496966,3.0
C010,hist_gradient_boosting,full,O4,HGB_C03,0.4341849146762877,0.49222548451752607,3.0
C010,hist_gradient_boosting,full,O5,HGB_C03,0.43039605417164517,0.49222548451752607,3.0
C010,hist_gradient_boosting,full,O6,HGB_C03,0.5075439198630712,0.6032137868606456,3.0
C010,hist_gradient_boosting,metadata_only,O1,HGB_C01,0.4493250100831305,0.5092128534563201,1.0
C010,hist_gradient_boosting,metadata_only,O2,HGB_C01,0.4472981764151284,0.5050532405896566,1.0
C010,hist_gradient_boosting,metadata_only,O3,HGB_C04,0.4068499984993748,0.445393806241976,4.0
C010,hist_gradient_boosting,metadata_only,O4,HGB_C04,0.4407040003761531,0.49300948802714656,4.0
C010,hist_gradient_boosting,metadata_only,O5,HGB_C01,0.4331925906539786,0.4930094880678105,1.0
C010,hist_gradient_boosting,metadata_only,O6,HGB_C01,0.5269701597410306,0.665041414190203,1.0
C010,hist_gradient_boosting,weather_only,O1,HGB_C03,0.43832500570701044,0.4795400341957124,3.0
C010,hist_gradient_boosting,weather_only,O2,HGB_C01,0.46033857818501556,0.5170763320362588,1.0
C010,hist_gradient_boosting,weather_only,O3,HGB_C03,0.41374536958640795,0.44100602055336324,3.0
C010,hist_gradient_boosting,weather_only,O4,HGB_C01,0.4336442634795398,0.4859967925122773,1.0
C010,hist_gradient_boosting,weather_only,O5,HGB_C03,0.4307370180043031,0.48926449635169783,3.0
C010,hist_gradient_boosting,weather_only,O6,HGB_C04,0.5079890582091926,0.6037588497283743,4.0
C010,lightgbm,full,O1,LGB_C03,0.4442388186510726,0.48913916977734556,3.0
C010,lightgbm,full,O2,LGB_C01,0.45512944599349386,0.5258782110205773,1.0
C010,lightgbm,full,O3,LGB_C01,0.403401625145338,0.43060428095060926,1.0
C010,lightgbm,full,O4,LGB_C03,0.42565588536892385,0.4758892831209437,3.0
C010,lightgbm,full,O5,LGB_C03,0.4256033539568807,0.4758892831209437,3.0
C010,lightgbm,full,O6,LGB_C02,0.5029455735921072,0.6061996912007274,2.0
C010,lightgbm,metadata_only,O1,LGB_C02,0.44932501001832614,0.5092128528505049,2.0
C010,lightgbm,metadata_only,O2,LGB_C01,0.4472981759818068,0.5050532401055855,1.0
C010,lightgbm,metadata_only,O3,LGB_C01,0.4068499983447382,0.44539380594019473,1.0
C010,lightgbm,metadata_only,O4,LGB_C01,0.4407040004459746,0.4930094882033494,1.0
C010,lightgbm,metadata_only,O5,LGB_C01,0.43319259060281157,0.4930094882033494,1.0
C010,lightgbm,metadata_only,O6,LGB_C01,0.526970159866753,0.6650414149862036,1.0
C010,lightgbm,weather_only,O1,LGB_C01,0.4442314339844653,0.4864842193678712,1.0
C010,lightgbm,weather_only,O2,LGB_C02,0.4525682946762573,0.5118000848717543,2.0
C010,lightgbm,weather_only,O3,LGB_C01,0.4045124201407075,0.4316714501707133,1.0
C010,lightgbm,weather_only,O4,LGB_C03,0.42616641780982056,0.4765957356077086,3.0
C010,lightgbm,weather_only,O5,LGB_C01,0.4258354353164318,0.4783373953090867,1.0
C010,lightgbm,weather_only,O6,LGB_C02,0.5034025333387465,0.6068042698768756,2.0
C010,linear_shrinkage,full,O1,LIN_C01,0.42851520870142856,0.4691443036213028,1.0
C010,linear_shrinkage,full,O2,LIN_C01,0.4418368010447648,0.4911361009530117,1.0
C010,linear_shrinkage,full,O3,LIN_C04,0.40886656929877274,0.4433586853069248,4.0
C010,linear_shrinkage,full,O4,LIN_C04,0.43937714936450295,0.484339979150701,4.0
C010,linear_shrinkage,full,O5,LIN_C04,0.43501381795890226,0.484339979150701,4.0
C010,linear_shrinkage,full,O6,LIN_C03,0.5204052091455861,0.6446550628558043,3.0
C010,linear_shrinkage,metadata_only,O1,LIN_C01,0.44932501004953945,0.5092128533759293,1.0
C010,linear_shrinkage,metadata_only,O2,LIN_C04,0.447298176508256,0.5050532409612714,4.0
C010,linear_shrinkage,metadata_only,O3,LIN_C01,0.4068499984404849,0.4453938058601783,1.0
C010,linear_shrinkage,metadata_only,O4,LIN_C01,0.4407040003028912,0.49300948829053354,1.0
C010,linear_shrinkage,metadata_only,O5,LIN_C01,0.4331925906580383,0.49300948829053354,1.0
C010,linear_shrinkage,metadata_only,O6,LIN_C01,0.5269701597008473,0.6650414138863885,1.0
C010,linear_shrinkage,weather_only,O1,LIN_C01,0.4444755250339287,0.49174688851597537,1.0
C010,linear_shrinkage,weather_only,O2,LIN_C04,0.45197560799311454,0.5192838075692815,4.0
C010,linear_shrinkage,weather_only,O3,LIN_C04,0.40869057004423553,0.4427281359782669,4.0
C010,linear_shrinkage,weather_only,O4,LIN_C04,0.4390723870182644,0.48506033135388205,4.0
C010,linear_shrinkage,weather_only,O5,LIN_C04,0.43451222486458363,0.48506033135388205,4.0
C010,linear_shrinkage,weather_only,O6,LIN_C03,0.5236448948022202,0.6618087129286857,3.0
C011,catboost,full,O1,CAT_E06,0.4289877355592257,0.4662471972029314,6.0
C011,catboost,full,O2,CAT_E06,0.43034170311763337,0.48379125220357105,6.0
C011,catboost,full,O3,CAT_E08,0.3890326505998956,0.4116842584897251,8.0
C011,catboost,full,O4,CAT_E12,0.4165903247726325,0.4687687153817242,12.0
C011,catboost,full,O5,CAT_E10,0.41856159912302054,0.4763618563962741,10.0
C011,catboost,full,O6,CAT_E03,0.501588265310324,0.6118298401976783,3.0
C011,catboost,metadata_only,O1,CAT_E09,0.44932500994360125,0.5092128532426191,9.0
C011,catboost,metadata_only,O2,CAT_E02,0.44729817642904673,0.5050532407322378,2.0
C011,catboost,metadata_only,O3,CAT_E01,0.40684999846013437,0.4453938060984057,1.0
C011,catboost,metadata_only,O4,CAT_E01,0.44070400036475976,0.49300948818455304,1.0
C011,catboost,metadata_only,O5,CAT_E04,0.4331925906009883,0.4930094881560839,4.0
C011,catboost,metadata_only,O6,CAT_E04,0.526970159765476,0.6650414143266044,4.0
C011,catboost,weather_only,O1,CAT_E10,0.4266241921454355,0.4687236698284796,10.0
C011,catboost,weather_only,O2,CAT_E11,0.4296144775566841,0.4823746762355147,11.0
C011,catboost,weather_only,O3,CAT_E02,0.38790069214976114,0.4188749928100162,2.0
C011,catboost,weather_only,O4,CAT_E05,0.4177091339140307,0.47754871291022566,5.0
C011,catboost,weather_only,O5,CAT_E02,0.41984942704751105,0.47453727786573824,2.0
C011,catboost,weather_only,O6,CAT_E10,0.5061324457863504,0.6164026650259001,10.0
C011,extra_trees,full,O1,ET_E01,0.4288017841206897,0.46187303106735944,1.0
C011,extra_trees,full,O2,ET_E01,0.426663328196756,0.4845686330120924,1.0
C011,extra_trees,full,O3,ET_E08,0.3895687138419999,0.4146295006027408,8.0
C011,extra_trees,full,O4,ET_E03,0.4199177488278996,0.47702992810733347,3.0
C011,extra_trees,full,O5,ET_E11,0.42318662596835915,0.47758945997628116,11.0
C011,extra_trees,full,O6,ET_E10,0.4998867948148324,0.5936772106383345,10.0
C011,extra_trees,metadata_only,O1,ET_E01,0.4493250100495369,0.5092128533759248,1.0
C011,extra_trees,metadata_only,O2,ET_E12,0.4472981765082542,0.505053240961278,12.0
C011,extra_trees,metadata_only,O3,ET_E03,0.40684999844048125,0.44539380586017413,3.0
C011,extra_trees,metadata_only,O4,ET_E03,0.44070400030288864,0.4930094882905325,3.0
C011,extra_trees,metadata_only,O5,ET_E06,0.43319259065803745,0.4930094882905327,6.0
