base_id,candidate_id,arm_id,model_id,signal_strength_mde,measurement_error_sd,spatial_mismatch_fraction,seed,n_test,rmse_model,rmse_metadata,rmse_zero,module_a_point_pass,module_b_point_pass,event_prevalence,event_n,event_spearman,event_topk_lift,module_e_point_pass,policy_permission,ground_truth_valid,correct_permission,correct_stop,ground_truth_used_as_model_input
6d5104924d5dba1c3e76,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71005,66,0.43332940922293023,0.4145791599712436,0.4101429818426308,False,False,quarter,3,-1.0,0.0,False,False,False,False,True,False
09a2aff6ef04712f6365,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71005,66,0.43922257534098214,0.4213245114717002,0.4101429818426308,False,False,base,11,0.3034683233153239,1.6363636363636365,False,False,False,False,True,False
09a2aff6ef04712f6365,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71005,66,0.43922257534098214,0.4213245114717002,0.4101429818426308,False,False,half,6,0.6571428571428573,1.8333333333333333,True,False,False,False,True,False
09a2aff6ef04712f6365,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71005,66,0.43922257534098214,0.4213245114717002,0.4101429818426308,False,False,quarter,3,0.5,7.333333333333333,True,False,False,False,True,False
b16c94cc1f081518721e,winner,C310,catboost,0.0,0.0,0.0,71006,66,0.4730940919236085,0.4560296373954043,0.41154056722601884,False,False,base,11,-0.30000000000000004,0.5454545454545454,False,False,False,False,True,False
b16c94cc1f081518721e,winner,C310,catboost,0.0,0.0,0.0,71006,66,0.4730940919236085,0.4560296373954043,0.41154056722601884,False,False,half,6,0.4285714285714286,0.0,False,False,False,False,True,False
b16c94cc1f081518721e,winner,C310,catboost,0.0,0.0,0.0,71006,66,0.4730940919236085,0.4560296373954043,0.41154056722601884,False,False,quarter,3,-0.5,0.0,False,False,False,False,True,False
489af5affb87de175190,runner_up_1,C300,catboost,0.0,0.0,0.0,71006,66,0.44226685942031,0.4351831092836052,0.41154056722601884,False,False,base,11,0.19090909090909092,1.6363636363636365,True,False,False,False,True,False
489af5affb87de175190,runner_up_1,C300,catboost,0.0,0.0,0.0,71006,66,0.44226685942031,0.4351831092836052,0.41154056722601884,False,False,half,6,0.2,1.8333333333333333,True,False,False,False,True,False
489af5affb87de175190,runner_up_1,C300,catboost,0.0,0.0,0.0,71006,66,0.44226685942031,0.4351831092836052,0.41154056722601884,False,False,quarter,3,-1.0,7.333333333333333,False,False,False,False,True,False
f7c3f2e31929243f6ecb,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71006,66,0.4306023696103329,0.4357542704337819,0.41154056722601884,False,True,base,11,0.5636363636363637,2.1818181818181817,True,False,False,False,True,False
f7c3f2e31929243f6ecb,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71006,66,0.4306023696103329,0.4357542704337819,0.41154056722601884,False,True,half,6,0.2571428571428572,1.8333333333333333,True,False,False,False,True,False
f7c3f2e31929243f6ecb,runner_up_2,C301,extra_trees,0.0,0.0,0.0,71006,66,0.4306023696103329,0.4357542704337819,0.41154056722601884,False,True,quarter,3,1.0,0.0,False,False,False,False,True,False
33130e8317ffb4e2ef0c,kse_primary,KSE_PRIMARY,catboost,0.0,0.0,0.0,71006,66,0.4146633493392247,0.43670331100850707,0.41154056722601884,False,True,base,11,-0.15034207570080774,2.1818181818181817,False,False,False,False,True,False
